entropy_weights: [1, 0]
entropy_weights: [0.9876543209876544, 0.012345679012345677]
entropy_weights: [0.9753086419753088, 0.024691358024691353]
entropy_weights: [0.9629629629629631, 0.03703703703703703]
entropy_weights: [0.9506172839506175, 0.049382716049382706]
entropy_weights: [0.9382716049382719, 0.061728395061728385]
entropy_weights: [0.9259259259259263, 0.07407407407407406]
entropy_weights: [0.9135802469135806, 0.08641975308641973]
entropy_weights: [0.901234567901235, 0.09876543209876541]
entropy_weights: [0.8888888888888894, 0.11111111111111109]
entropy_weights: [0.8765432098765438, 0.12345679012345677]
entropy_weights: [0.8641975308641981, 0.13580246913580243]
entropy_weights: [0.8518518518518525, 0.1481481481481481]
entropy_weights: [0.8395061728395069, 0.1604938271604938]
entropy_weights: [0.8271604938271613, 0.17283950617283947]
entropy_weights: [0.8148148148148157, 0.18518518518518515]
entropy_weights: [0.80246913580247, 0.19753086419753083]
entropy_weights: [0.7901234567901244, 0.2098765432098765]
entropy_weights: [0.6651234567901244, 0.33487654320987653]
entropy_weights: [0.5401234567901244, 0.4598765432098766]
entropy_weights: [0.4151234567901244, 0.5848765432098766]
entropy_weights: [0.40277777777777873, 0.5972222222222222]
entropy_weights: [0.39043209876543306, 0.6095679012345678]
entropy_weights: [0.3780864197530874, 0.6219135802469135]
entropy_weights: [0.2530864197530873, 0.7469135802469135]
entropy_weights: [0.24074074074074164, 0.7592592592592591]
entropy_weights: [0.22839506172839596, 0.7716049382716047]
entropy_weights: [0.2160493827160503, 0.7839506172839503]
entropy_weights: [0.2037037037037046, 0.796296296296296]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.8, 0.19999999999999996]
entropy_weights: [0.7561643835616438, 0.2438356164383561]
entropy_weights: [0.7123287671232876, 0.28767123287671226]
entropy_weights: [0.6643417551832168, 0.33565824481678314]
entropy_weights: [0.6138732200127555, 0.38612677998724454]
entropy_weights: [0.5590786994648103, 0.44092130053518974]
entropy_weights: [0.5042841789168651, 0.49571582108313494]
entropy_weights: [0.44948965836891985, 0.5505103416310801]
entropy_weights: [0.39469513782097465, 0.6053048621790253]
entropy_weights: [0.33990061727302945, 0.6600993827269706]
entropy_weights: [0.28510609672508425, 0.7148939032749158]
entropy_weights: [0.23031157617713904, 0.769688423822861]
entropy_weights: [0.17551705562919384, 0.8244829443708062]
entropy_weights: [0.12072253508124864, 0.8792774649187514]
entropy_weights: [0.06592801453330344, 0.9340719854666966]
entropy_weights: [0.011133493985358234, 0.9888665060146418]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.8, 0.19999999999999996]
entropy_weights: [0.7372549019607844, 0.26274509803921564]
entropy_weights: [0.6745098039215687, 0.3254901960784313]
entropy_weights: [0.611764705882353, 0.388235294117647]
entropy_weights: [0.5490196078431373, 0.4509803921568627]
entropy_weights: [0.4862745098039216, 0.5137254901960784]
entropy_weights: [0.42352941176470593, 0.5764705882352941]
entropy_weights: [0.36078431372549025, 0.6392156862745098]
entropy_weights: [0.28930159652018067, 0.7106984034798194]
entropy_weights: [0.22655649848096499, 0.7734435015190351]
entropy_weights: [0.1638114004417493, 0.8361885995582508]
entropy_weights: [0.09382041944961331, 0.9061795805503867]
entropy_weights: [0.017846654757060765, 0.9821533452429393]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.8, 0.19999999999999996]
entropy_weights: [0.7085714285714286, 0.29142857142857137]
entropy_weights: [0.6171428571428572, 0.3828571428571428]
entropy_weights: [0.5257142857142858, 0.4742857142857142]
entropy_weights: [0.4342857142857144, 0.5657142857142856]
entropy_weights: [0.34285714285714297, 0.657142857142857]
entropy_weights: [0.25142857142857156, 0.7485714285714284]
entropy_weights: [0.16000000000000014, 0.8399999999999999]
entropy_weights: [0.06857142857142871, 0.9314285714285713]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.8, 0.19999999999999996]
entropy_weights: [0.6666666666666667, 0.33333333333333326]
entropy_weights: [0.5333333333333334, 0.46666666666666656]
entropy_weights: [0.40000000000000013, 0.5999999999999999]
entropy_weights: [0.26666666666666683, 0.7333333333333332]
entropy_weights: [0.1333333333333335, 0.8666666666666665]
entropy_weights: [1.6653345369377348e-16, 0.9999999999999998]
entropy_weights: [0.01, 1]
entropy_weights: [0.8, 0.19999999999999996]
entropy_weights: [0.6000000000000001, 0.39999999999999997]
entropy_weights: [0.4000000000000001, 0.6]
entropy_weights: [0.20000000000000007, 0.8]
entropy_weights: [5.551115123125783e-17, 1.0]
entropy_weights: [0.8, 0.19999999999999996]
entropy_weights: [0.509090909090909, 0.4909090909090909]
entropy_weights: [0.2181818181818181, 0.7818181818181819]
entropy_weights: [0.01, 1]
entropy_weights: [0.8, 0.19999999999999996]
entropy_weights: [0.34285714285714286, 0.6571428571428571]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
